CODIGO,DESCRIPCION,CANTIDAD,UBICACION,CATALOGO,PROVEEDOR,TIPO,ENTREGADO A:,REGRESO FECHA:,WEB SITE,IMAGEN,ID
, ,1,C05N06P02,,,TELA,,,,,
, ,1,C05N06P03,,,TELA,,,,,
, ,1,C05N06P04,,,TELA,,,,,
, ,1,C05N06P05,,,TELA,,,,,
, ,1,C05N06P06,,,TELA,,,,,
, ,1,C05N07P01,,,TELA,,,,,
, ,1,C05N07P02,,,TELA,,,,,
, ,1,C05N07P03,,,TELA,,,,,
, ,1,C05N07P04,,,TELA,,,,,
, ,1,C05N07P05,,,TELA,,,,,
, ,1,C05N07P06,,,TELA,,,,,
, ,1,C05N08P01,,,TELA,,,,,
, ,1,C05N08P02,,,TELA,,,,,
, ,1,C05N08P03,,,TELA,,,,,
, ,1,C05N08P04,,,TELA,,,,,
, ,1,C05N08P05,,,TELA,,,,,
, ,1,C05N08P06,,,TELA,,,,,
, ,1,C06N01P01,,,TELA,,,,,
, ,1,C06N01P02,,,TELA,,,,,
, ,1,C06N01P03,,,TELA,,,,,
, ,1,C06N01P04,,,TELA,,,,,
, ,1,C06N01P05,,,TELA,,,,,
, ,1,C06N01P06,,,TELA,,,,,
, ,1,C06N02P01,,,TELA,,,,,
, ,1,C06N02P02,,,TELA,,,,,
, ,1,C06N02P03,,,TELA,,,,,
, ,1,C06N02P04,,,TELA,,,,,
, ,1,C06N02P05,,,TELA,,,,,
, ,1,C06N02P06,,,TELA,,,,,
, ,1,C06N03P01,,,TELA,,,,,
, ,1,C06N03P02,,,TELA,,,,,
, ,1,C06N03P03,,,TELA,,,,,
, ,1,C06N03P04,,,TELA,,,,,
, ,1,C06N03P05,,,TELA,,,,,
, ,1,C06N03P06,,,TELA,,,,,
, ,1,C06N04P01,,,TELA,,,,,
, ,1,C06N04P02,,,TELA,,,,,
, ,1,C06N04P03,,,TELA,,,,,
, ,1,C06N04P04,,,TELA,,,,,
, ,1,C06N04P05,,,TELA,,,,,
, ,1,C06N04P06,,,TELA,,,,,
, ,1,C06N05P01,,,TELA,,,,,
, ,1,C06N05P02,,,TELA,,,,,
, ,1,C06N05P03,,,TELA,,,,,
, ,1,C06N05P04,,,TELA,,,,,
, ,1,C06N05P05,,,TELA,,,,,
, ,1,C06N05P06,,,TELA,,,,,
, ,1,C06N06P01,,,TELA,,,,,
, ,1,C06N06P02,,,TELA,,,,,
, ,1,C06N06P03,,,TELA,,,,,
, ,1,C06N06P04,,,TELA,,,,,
, ,1,C06N06P05,,,TELA,,,,,
, ,1,C06N06P06,,,TELA,,,,,
, ,1,C06N07P01,,,TELA,,,,,
, ,1,C06N07P02,,,TELA,,,,,
, ,1,C06N07P03,,,TELA,,,,,
, ,1,C06N07P04,,,TELA,,,,,
, ,1,C06N07P05,,,TELA,,,,,
, ,1,C06N07P06,,,TELA,,,,,
